epoch,batch,recon_acc,class_acc
1,1,-4.303455352783203e-05,0.0
1,11,-0.00045180320739746094,0.0
1,21,-2.014636993408203e-05,0.0
1,31,nan,0.0
1,41,nan,0.0
1,51,nan,0.0
1,61,nan,0.0
1,71,nan,0.0
1,81,nan,0.0
1,91,nan,0.0
1,101,nan,0.0
1,111,nan,0.0
1,121,nan,0.0
1,131,nan,0.0
1,141,nan,0.0
1,151,nan,0.0
1,161,nan,0.0
1,171,nan,0.0
1,181,nan,0.0
1,191,nan,0.0
1,201,nan,0.0
1,211,nan,0.0
1,221,nan,0.0
1,231,nan,0.0
1,241,nan,0.0
1,251,nan,0.0
1,261,nan,0.0
1,271,nan,0.0
1,281,nan,0.0
1,291,nan,0.0
1,301,nan,0.0
1,311,nan,0.0
1,321,nan,0.0
1,331,nan,0.0
1,341,nan,0.0
1,351,nan,0.0
1,361,nan,0.0
1,371,nan,0.0
1,381,nan,0.0
1,391,nan,0.0
1,401,nan,0.0
1,411,nan,0.0
1,421,nan,0.0
1,431,nan,0.0
1,441,nan,0.0
1,451,nan,0.0
